Time(s),Res(O),Angles(deg)
1733109922.0131574,"(125.72, 319.62, 288.95, 164.53)","(14.61, 6.05)"
1733109922.0494957,"(125.72, 319.62, 288.95, 164.53)","(14.68, 6.05)"
1733109922.086715,"(125.72, 319.74, 288.95, 164.58)","(14.68, 6.05)"
1733109922.1236362,"(125.72, 319.74, 288.95, 164.58)","(14.61, 6.05)"
1733109922.1607606,"(125.72, 319.74, 288.95, 164.39)","(14.61, 6.05)"
1733109922.19709,"(125.72, 319.62, 288.95, 164.3)","(14.61, 6.05)"
1733109922.2340262,"(125.72, 319.62, 288.95, 164.11)","(14.61, 6.05)"
1733109922.2711492,"(125.72, 319.62, 288.95, 163.92)","(14.61, 6.05)"
1733109922.3039904,"(125.72, 319.62, 288.95, 163.74)","(14.61, 6.05)"
1733109922.3412485,"(125.72, 319.62, 288.95, 163.55)","(14.61, 6.05)"
1733109922.37736,"(125.76, 319.62, 288.95, 163.36)","(14.61, 6.05)"
1733109922.414311,"(125.76, 319.62, 288.95, 163.22)","(14.61, 6.05)"
1733109922.4513755,"(125.76, 319.62, 288.95, 163.08)","(14.46, 6.27)"
1733109922.4879708,"(125.72, 319.62, 289.05, 162.95)","(14.58, 6.08)"
1733109922.524909,"(125.72, 319.74, 289.05, 162.76)","(14.61, 6.05)"
1733109922.5618336,"(125.72, 319.62, 288.95, 162.62)","(14.48, 6.05)"
1733109922.5983336,"(125.72, 319.62, 288.95, 162.48)","(14.48, 6.05)"
1733109922.6316676,"(125.72, 319.5, 288.95, 162.44)","(14.48, 6.05)"
1733109922.6680424,"(125.72, 319.62, 288.95, 162.44)","(14.61, 6.05)"
1733109922.705102,"(125.72, 319.62, 288.95, 162.67)","(14.61, 6.05)"
1733109922.7425165,"(125.72, 319.62, 288.95, 162.85)","(14.61, 6.05)"
1733109922.7795515,"(125.72, 319.62, 288.95, 163.13)","(14.61, 6.05)"
1733109922.8160114,"(125.72, 319.62, 288.95, 163.41)","(14.61, 6.05)"
1733109922.8530958,"(125.72, 319.62, 288.95, 163.69)","(14.61, 6.05)"
1733109922.889247,"(125.72, 319.62, 288.95, 163.88)","(14.48, 6.05)"
1733109922.9268796,"(125.69, 319.62, 288.95, 164.11)","(14.450000000000001, 6.08)"
1733109922.96319,"(125.69, 319.62, 288.84, 164.34)","(14.450000000000001, 6.08)"
1733109922.9964025,"(125.69, 319.62, 288.84, 164.53)","(14.450000000000001, 6.08)"
1733109923.0331514,"(125.69, 319.62, 288.84, 164.72)","(14.450000000000001, 6.08)"
1733109923.0701916,"(125.69, 319.5, 288.84, 164.81)","(14.450000000000001, 6.08)"
1733109923.1071804,"(125.69, 319.5, 288.95, 164.81)","(14.450000000000001, 6.08)"
1733109923.1438577,"(125.69, 319.5, 288.95, 164.81)","(14.450000000000001, 6.08)"
1733109923.180632,"(125.69, 319.5, 288.84, 164.72)","(14.450000000000001, 6.08)"
1733109923.216797,"(125.69, 319.38, 288.84, 164.53)","(14.450000000000001, 6.08)"
1733109923.253677,"(125.69, 319.38, 288.84, 164.3)","(14.450000000000001, 6.08)"
1733109923.290773,"(125.69, 319.38, 288.84, 164.02)","(14.450000000000001, 6.08)"
1733109923.3238966,"(125.69, 319.38, 288.84, 163.74)","(14.68, 6.05)"
1733109923.3609145,"(125.69, 319.5, 288.84, 163.46)","(14.68, 6.05)"
1733109923.3973272,"(125.76, 319.74, 288.95, 163.27)","(14.68, 6.05)"
1733109923.4347348,"(125.82, 319.98, 289.15, 163.13)","(14.779999999999998, 6.03)"
1733109923.471457,"(125.86, 320.23, 289.36, 162.95)","(14.68, 6.05)"
1733109923.5084438,"(125.89, 320.47, 289.67, 162.71)","(14.779999999999998, 6.03)"
1733109923.5451305,"(125.89, 320.71, 289.88, 162.53)","(14.779999999999998, 6.03)"
1733109923.58207,"(125.89, 320.96, 290.09, 162.34)","(14.68, 6.05)"
1733109923.6188977,"(125.89, 321.2, 290.3, 162.25)","(14.779999999999998, 6.03)"
1733109923.6550276,"(125.89, 321.45, 290.51, 162.25)","(14.779999999999998, 6.03)"
1733109923.6881304,"(125.93, 321.82, 290.83, 162.25)","(14.779999999999998, 6.03)"
1733109923.7254405,"(125.96, 322.19, 291.35, 162.25)","(14.68, 6.05)"
1733109923.7622316,"(125.96, 322.55, 291.67, 162.3)","(14.559999999999999, 6.25)"
1733109923.799284,"(125.96, 322.92, 291.98, 162.3)","(14.46, 6.27)"
1733109923.8359091,"(125.96, 323.17, 292.3, 162.39)","(14.46, 6.27)"
1733109923.8726292,"(125.93, 323.42, 292.62, 162.39)","(14.46, 6.27)"
1733109923.909354,"(125.89, 323.54, 292.94, 162.44)","(14.46, 6.27)"
1733109923.9461336,"(125.79, 323.54, 293.15, 162.34)","(14.65, 6.08)"
1733109923.98345,"(125.69, 323.54, 293.15, 162.25)","(14.65, 6.08)"
1733109924.016306,"(125.62, 323.54, 293.26, 162.16)","(14.65, 6.08)"
1733109924.053195,"(125.55, 323.54, 293.26, 162.11)","(14.65, 6.08)"
1733109924.0898502,"(125.52, 323.54, 293.26, 162.11)","(14.65, 6.08)"
1733109924.126661,"(125.49, 323.54, 293.26, 162.11)","(14.65, 6.08)"
1733109924.1636016,"(125.45, 323.54, 293.26, 162.11)","(14.65, 6.08)"
1733109924.2003546,"(125.39, 323.54, 293.26, 162.11)","(14.779999999999998, 6.03)"
1733109924.2371798,"(125.32, 323.42, 293.15, 162.11)","(14.779999999999998, 6.03)"
1733109924.2742388,"(125.22, 323.3, 292.94, 162.02)","(14.969999999999999, 5.84)"
1733109924.3104413,"(125.15, 323.17, 292.83, 161.93)","(14.969999999999999, 5.84)"
1733109924.3439052,"(125.08, 323.05, 292.72, 161.88)","(14.969999999999999, 5.84)"
1733109924.3800614,"(125.05, 323.05, 292.62, 161.79)","(14.870000000000001, 5.86)"
1733109924.417312,"(125.02, 322.92, 292.51, 161.75)","(14.68, 6.05)"
1733109924.4541235,"(124.98, 322.8, 292.41, 161.7)","(14.68, 6.05)"
1733109924.4911222,"(124.95, 322.68, 292.3, 161.7)","(14.68, 6.05)"
1733109924.5281367,"(124.92, 322.68, 292.3, 161.7)","(14.68, 6.05)"
1733109924.565103,"(124.88, 322.68, 292.19, 161.7)","(14.68, 6.05)"
1733109924.6020963,"(124.85, 322.68, 292.19, 161.7)","(14.68, 6.05)"
1733109924.6388805,"(124.82, 322.55, 292.19, 161.7)","(14.68, 6.05)"
1733109924.6754851,"(124.78, 322.55, 292.19, 161.66)","(14.68, 6.05)"
1733109924.7080402,"(124.75, 322.43, 292.19, 161.66)","(14.68, 6.05)"
1733109924.7454531,"(124.75, 322.31, 292.19, 161.66)","(14.68, 6.05)"
1733109924.781412,"(124.72, 322.31, 292.19, 161.7)","(14.68, 6.05)"
1733109924.8187013,"(124.72, 322.19, 292.19, 161.88)","(13.66, 6.05)"
1733109924.8552058,"(124.72, 322.06, 292.19, 161.93)","(12.05, 6.05)"
1733109924.8930008,"(124.72, 322.06, 292.19, 161.93)","(8.52, 6.7)"
1733109924.9292383,"(124.68, 322.06, 292.19, 161.75)","(6.130000000000001, 6.67)"
1733109924.9665244,"(124.68, 322.06, 292.19, 161.7)","(5.0200000000000005, 6.46)"
1733109925.003203,"(124.68, 322.06, 292.19, 161.98)","(4.5600000000000005, 6.25)"
1733109925.0356712,"(124.68, 322.06, 292.19, 162.34)","(3.8999999999999995, 6.46)"
1733109925.0726714,"(124.68, 321.94, 292.19, 162.81)","(3.6099999999999994, 6.51)"
1733109925.1093416,"(124.68, 321.82, 292.19, 163.13)","(3.4099999999999993, 6.29)"
1733109925.1467593,"(124.68, 321.69, 292.19, 163.36)","(2.7799999999999994, 6.51)"
1733109925.1832566,"(124.68, 321.69, 292.19, 163.55)","(0.20999999999999996, 6.94)"
1733109925.220142,"(124.68, 321.69, 292.19, 163.78)","(-2.3000000000000007, 7.15)"
1733109925.257157,"(124.68, 321.69, 292.19, 163.97)","(-4.210000000000001, 7.15)"
1733109925.2933512,"(124.72, 321.69, 292.19, 164.2)","(-4.619999999999999, 6.72)"
1733109925.330572,"(125.05, 321.94, 292.41, 164.81)","(-4.83, 6.72)"
1733109925.3634596,"(125.39, 322.31, 292.72, 165.33)","(-5.05, 6.72)"
1733109925.4007046,"(125.62, 322.68, 293.04, 165.85)","(-4.83, 6.72)"
1733109925.4365292,"(125.76, 322.92, 293.36, 166.18)","(-4.83, 6.72)"
1733109925.4737916,"(125.79, 323.17, 293.68, 166.66)","(-4.83, 6.72)"
1733109925.5108738,"(125.76, 323.54, 293.89, 166.85)","(-4.84, 6.51)"
1733109925.5477002,"(125.72, 323.79, 294.11, 166.47)","(-4.8100000000000005, 6.48)"
1733109925.584166,"(125.72, 324.04, 294.32, 165.9)","(-5.03, 6.7)"
1733109925.621528,"(125.79, 324.29, 294.54, 165.33)","(-5.05, 6.72)"
1733109925.6581333,"(125.82, 324.54, 294.75, 164.95)","(-5.03, 6.7)"
1733109925.6950643,"(125.82, 324.78, 294.86, 164.67)","(-4.84, 6.51)"
1733109925.7283423,"(125.82, 325.03, 294.96, 164.2)","(-5.05, 6.72)"
1733109925.7646985,"(125.76, 325.03, 295.07, 163.74)","(-4.84, 6.51)"
1733109925.8016949,"(125.69, 325.28, 295.18, 163.27)","(-5.05, 6.72)"
1733109925.8386626,"(125.55, 325.53, 295.29, 162.71)","(-4.8100000000000005, 6.7)"
1733109925.8757927,"(125.08, 325.28, 295.18, 161.84)","(-4.8100000000000005, 6.7)"
1733109925.9122918,"(124.62, 325.03, 294.96, 160.79)","(-5.03, 6.7)"
1733109925.949468,"(124.25, 324.78, 294.75, 159.93)","(-4.8100000000000005, 6.7)"
1733109925.9857762,"(123.99, 324.54, 294.54, 159.34)","(-4.8100000000000005, 6.7)"
1733109926.0228472,"(123.82, 324.29, 294.32, 158.8)","(-4.8100000000000005, 6.7)"
1733109926.0561247,"(123.72, 324.04, 294.22, 158.44)","(-4.8100000000000005, 6.7)"
1733109926.0920787,"(123.59, 323.91, 294.0, 158.22)","(-4.8100000000000005, 6.7)"
1733109926.1296146,"(123.46, 323.79, 293.79, 158.04)","(-4.8100000000000005, 6.7)"
1733109926.165902,"(123.23, 323.67, 293.68, 157.82)","(-4.8100000000000005, 6.7)"
1733109926.2032392,"(123.03, 323.54, 293.47, 157.55)","(-4.8100000000000005, 6.7)"
1733109926.2400362,"(122.86, 323.42, 293.47, 157.29)","(-4.8100000000000005, 6.7)"
1733109926.276791,"(122.7, 323.3, 293.47, 157.15)","(-4.8100000000000005, 6.7)"
1733109926.313624,"(122.6, 323.3, 293.47, 157.02)","(-4.8100000000000005, 6.7)"
1733109926.350924,"(122.5, 323.17, 293.36, 156.89)","(-4.590000000000001, 6.48)"
1733109926.386892,"(122.44, 323.05, 293.26, 156.49)","(-5.0, 6.67)"
1733109926.4202342,"(122.41, 323.05, 293.15, 156.1)","(-5.0, 6.67)"
1733109926.457008,"(122.37, 323.05, 293.04, 155.96)","(-5.03, 6.7)"
1733109926.493465,"(122.34, 323.05, 292.94, 155.83)","(-5.03, 6.7)"
1733109926.530416,"(122.31, 323.05, 292.83, 155.66)","(-5.03, 6.7)"
1733109926.5680563,"(122.27, 323.05, 292.72, 155.53)","(-5.03, 6.7)"
1733109926.6043322,"(122.24, 323.05, 292.62, 155.4)","(-5.03, 6.7)"
1733109926.641706,"(122.24, 322.92, 292.62, 155.35)","(-5.03, 6.7)"
1733109926.678549,"(122.18, 322.92, 292.62, 155.48)","(-5.03, 6.7)"
1733109926.715422,"(122.14, 322.92, 292.62, 155.57)","(-5.03, 6.7)"
1733109926.7473438,"(122.11, 322.92, 292.62, 155.57)","(-5.03, 6.7)"
1733109926.7843516,"(122.11, 322.92, 292.51, 155.79)","(-5.03, 6.7)"
1733109926.8211358,"(122.08, 322.92, 292.41, 156.05)","(-5.43, 6.89)"
1733109926.8588734,"(122.05, 322.92, 292.3, 156.32)","(-5.26, 6.72)"
1733109926.894907,"(122.01, 322.92, 292.3, 156.54)","(-5.26, 6.72)"
1733109926.932551,"(121.98, 322.92, 292.3, 156.98)","(-5.26, 6.72)"
1733109926.969346,"(121.95, 322.92, 292.3, 157.37)","(-4.18, 6.91)"
1733109927.0059097,"(121.92, 322.92, 292.3, 157.73)","(-1.3599999999999994, 9.11)"
1733109927.042722,"(121.88, 322.92, 292.3, 158.08)","(2.49, 13.83)"
1733109927.0750227,"(121.85, 322.92, 292.3, 158.49)","(5.330000000000002, 19.74)"
1733109927.112228,"(121.82, 322.92, 292.3, 158.8)","(7.77, 24.52)"
1733109927.1494658,"(121.79, 322.92, 292.3, 159.02)","(8.410000000000004, 27.15)"
1733109927.1862557,"(121.75, 323.05, 292.3, 158.8)","(7.969999999999999, 27.35)"
1733109927.2232866,"(121.75, 323.05, 292.3, 158.62)","(6.329999999999998, 26.08)"
1733109927.2593894,"(121.75, 323.05, 292.19, 158.67)","(4.610000000000003, 23.83)"
1733109927.2965856,"(121.75, 323.05, 292.3, 158.89)","(3.2799999999999976, 21.6)"
1733109927.3337915,"(121.72, 323.05, 292.3, 158.8)","(2.780000000000001, 20.5)"
1733109927.3706856,"(121.72, 323.05, 292.3, 158.4)","(3.25, 20.5)"
1733109927.4068382,"(121.72, 323.05, 292.3, 158.08)","(4.329999999999998, 21.48)"
1733109927.4401455,"(121.72, 323.05, 292.3, 157.86)","(5.219999999999999, 22.94)"
1733109927.476725,"(121.72, 323.05, 292.3, 157.73)","(6.199999999999999, 24.12)"
1733109927.5142868,"(121.72, 323.05, 292.3, 157.6)","(5.600000000000001, 25.0)"
1733109927.5510807,"(121.72, 323.05, 292.3, 157.46)","(6.170000000000002, 24.61)"
1733109927.587507,"(121.72, 323.05, 292.3, 157.29)","(6.09, 24.41)"
1733109927.624648,"(121.72, 323.05, 292.3, 157.2)","(6.18, 24.32)"
1733109927.6609178,"(121.72, 323.05, 292.3, 157.15)","(6.18, 24.32)"
1733109927.698467,"(121.72, 323.05, 292.3, 157.15)","(5.710000000000001, 24.61)"
1733109927.7352834,"(121.72, 323.05, 292.3, 157.55)","(5.710000000000001, 24.61)"
1733109927.7677174,"(121.72, 323.05, 292.3, 157.77)","(5.710000000000001, 24.61)"
1733109927.8051486,"(121.72, 323.05, 292.3, 157.82)","(5.91, 24.41)"
1733109927.841868,"(121.72, 323.05, 292.19, 157.73)","(5.710000000000001, 24.61)"
1733109927.8780403,"(121.75, 323.17, 292.41, 157.82)","(5.91, 24.41)"
1733109927.9155183,"(121.85, 323.3, 292.51, 158.22)","(5.710000000000001, 24.61)"
1733109927.9520936,"(122.01, 323.3, 292.51, 158.58)","(5.710000000000001, 24.61)"
1733109927.9884562,"(122.14, 323.3, 292.51, 158.89)","(5.990000000000002, 24.61)"
1733109928.0261023,"(122.24, 323.3, 292.41, 159.16)","(5.800000000000001, 24.7)"
1733109928.0630198,"(122.34, 323.17, 292.3, 159.34)","(6.080000000000002, 24.7)"
1733109928.095019,"(122.44, 323.05, 292.19, 159.29)","(6.080000000000002, 24.7)"
1733109928.1320808,"(122.54, 322.92, 292.09, 159.34)","(5.990000000000002, 24.79)"
1733109928.1692586,"(122.6, 322.8, 291.98, 159.25)","(5.990000000000002, 24.9)"
1733109928.2058098,"(122.67, 322.68, 291.88, 159.2)","(6.170000000000002, 24.9)"
1733109928.2430272,"(122.73, 322.56, 291.77, 159.52)","(6.170000000000002, 24.9)"
1733109928.2794428,"(122.8, 322.43, 291.67, 159.61)","(6.170000000000002, 24.9)"
1733109928.3167872,"(122.86, 322.31, 291.56, 159.65)","(6.170000000000002, 24.9)"
1733109928.3530192,"(122.93, 322.19, 291.46, 159.56)","(6.260000000000002, 24.99)"
1733109928.3905478,"(123.0, 322.06, 291.35, 159.61)","(6.550000000000001, 24.99)"
1733109928.4276946,"(123.0, 321.82, 291.04, 159.56)","(6.550000000000001, 24.99)"
1733109928.4594946,"(122.93, 321.57, 290.83, 159.56)","(6.73, 24.99)"
1733109928.4971232,"(122.8, 321.45, 290.72, 159.52)","(6.459999999999997, 25.19)"
1733109928.5340748,"(122.7, 321.33, 290.62, 159.34)","(6.529999999999998, 25.19)"
1733109928.569883,"(122.63, 321.2, 290.51, 159.2)","(6.529999999999998, 25.19)"
1733109928.6075246,"(122.57, 321.08, 290.51, 159.34)","(6.529999999999998, 25.19)"
1733109928.6445758,"(122.5, 321.08, 290.41, 159.11)","(6.529999999999998, 25.19)"
1733109928.680917,"(122.44, 321.08, 290.3, 158.84)","(6.529999999999998, 25.19)"
1733109928.7176497,"(122.41, 321.08, 290.2, 158.58)","(6.529999999999998, 25.19)"
1733109928.7544932,"(122.37, 321.08, 290.09, 158.26)","(6.529999999999998, 25.19)"
1733109928.7874863,"(122.34, 321.08, 289.99, 157.64)","(6.75, 25.19)"
1733109928.824511,"(122.31, 321.08, 289.88, 157.29)","(6.819999999999997, 25.19)"
1733109928.8616426,"(122.27, 321.08, 289.78, 156.98)","(6.609999999999999, 25.28)"
1733109928.8983877,"(122.21, 320.96, 289.67, 156.76)","(6.529999999999998, 25.48)"
1733109928.935062,"(122.14, 320.96, 289.57, 156.4)","(6.529999999999998, 25.48)"
1733109928.971682,"(122.11, 320.84, 289.47, 156.1)","(6.529999999999998, 25.48)"
1733109929.0083122,"(122.08, 320.84, 289.36, 155.75)","(6.529999999999998, 25.48)"
1733109929.045376,"(122.05, 320.84, 289.36, 155.44)","(6.529999999999998, 25.48)"
1733109929.0822442,"(122.01, 320.84, 289.26, 155.0)","(6.529999999999998, 25.48)"
1733109929.1155882,"(121.98, 320.84, 289.26, 154.57)","(6.639999999999997, 25.48)"
1733109929.1523843,"(121.95, 320.96, 289.15, 153.88)","(6.639999999999997, 25.48)"
1733109929.1884406,"(121.92, 320.96, 289.15, 153.88)","(6.639999999999997, 25.48)"
1733109929.225643,"(121.88, 320.84, 289.15, 153.71)","(6.639999999999997, 25.48)"
1733109929.262514,"(121.85, 320.84, 289.15, 153.58)","(6.809999999999999, 25.48)"
1733109929.2998834,"(121.82, 320.84, 289.15, 153.62)","(6.989999999999998, 25.48)"
1733109929.3363678,"(121.79, 320.72, 289.15, 153.67)","(6.609999999999999, 25.68)"
1733109929.3729692,"(121.75, 320.72, 289.15, 153.54)","(6.609999999999999, 25.68)"
1733109929.4102669,"(121.72, 320.59, 289.15, 153.32)","(6.729999999999997, 25.68)"
1733109929.446955,"(121.72, 320.72, 289.15, 153.32)","(7.099999999999998, 25.48)"
1733109929.479957,"(121.72, 320.59, 289.15, 153.28)","(6.729999999999997, 25.68)"
1733109929.5169322,"(121.72, 320.59, 289.15, 153.11)","(7.07, 25.58)"
1733109929.5531046,"(121.72, 320.59, 289.15, 152.94)","(7.07, 25.58)"
1733109929.5900545,"(121.72, 320.47, 289.05, 152.68)","(6.899999999999999, 25.68)"
1733109929.6273088,"(121.69, 320.35, 289.05, 152.89)","(6.689999999999998, 25.78)"
1733109929.664315,"(121.69, 320.35, 289.05, 152.89)","(6.689999999999998, 25.78)"
1733109929.701305,"(121.69, 320.23, 289.05, 152.94)","(6.689999999999998, 25.78)"
1733109929.738072,"(121.69, 320.11, 289.05, 152.25)","(6.689999999999998, 25.78)"
1733109929.774377,"(121.69, 320.11, 289.05, 151.7)","(9.400000000000002, 24.99)"
1733109929.80753,"(121.69, 319.98, 289.05, 151.11)","(16.209999999999997, 22.05)"
1733109929.843673,"(121.69, 319.86, 289.05, 150.36)","(19.5, 20.71)"
1733109929.8814447,"(121.66, 319.86, 289.05, 149.57)","(20.08, 20.43)"
1733109929.9183528,"(121.62, 319.74, 289.05, 148.94)","(20.36, 20.43)"
1733109929.955183,"(121.59, 319.74, 288.95, 148.45)","(20.36, 20.43)"
1733109929.9920106,"(121.56, 319.62, 288.95, 148.08)","(20.96, 20.43)"
1733109930.028345,"(121.53, 319.62, 288.95, 147.87)","(21.5, 20.5)"
1733109930.0654986,"(121.49, 319.62, 288.95, 147.83)","(21.75, 20.71)"
1733109930.102659,"(121.46, 319.5, 288.95, 147.47)","(21.84, 20.91)"
1733109930.1394808,"(121.43, 319.5, 288.95, 147.34)","(21.709999999999997, 21.19)"
1733109930.1722925,"(121.43, 319.5, 288.95, 147.1)","(21.859999999999996, 21.19)"
1733109930.2091029,"(121.4, 319.38, 288.84, 147.02)","(21.859999999999996, 21.19)"
1733109930.2457557,"(121.37, 319.38, 288.84, 146.94)","(21.930000000000003, 21.27)"
1733109930.2825966,"(121.33, 319.38, 288.84, 147.42)","(22.529999999999998, 21.27)"
1733109930.3190017,"(121.3, 319.38, 288.84, 147.96)","(22.62, 21.48)"
1733109930.3558154,"(121.27, 319.38, 288.84, 148.41)","(23.069999999999997, 21.48)"
1733109930.3928208,"(121.24, 319.38, 288.84, 148.86)","(23.17, 21.68)"
1733109930.4299755,"(121.24, 319.38, 288.84, 149.4)","(23.47, 21.68)"
1733109930.4665012,"(121.24, 319.38, 288.84, 149.86)","(23.619999999999997, 21.68)"
1733109930.4994078,"(121.24, 319.38, 288.95, 150.27)","(23.92, 21.68)"
1733109930.53683,"(121.24, 319.38, 288.95, 150.27)","(23.84, 21.76)"
1733109930.5734053,"(121.24, 319.38, 288.95, 150.32)","(23.99, 21.76)"
1733109930.6102655,"(121.24, 319.38, 288.95, 150.23)","(23.799999999999997, 21.96)"
1733109930.64705,"(121.24, 319.38, 288.95, 150.44)","(24.289999999999996, 21.76)"
1733109930.6841931,"(121.24, 319.38, 288.95, 150.44)","(24.289999999999996, 21.76)"
1733109930.7204614,"(121.24, 319.38, 288.95, 150.36)","(24.1, 21.96)"
1733109930.7577507,"(121.24, 319.38, 289.05, 150.32)","(24.599999999999998, 21.76)"
1733109930.794807,"(121.24, 319.38, 289.05, 150.27)","(24.45, 22.05)"
1733109930.8268416,"(121.24, 319.38, 289.05, 150.19)","(24.669999999999998, 21.84)"
1733109930.8645818,"(121.24, 319.38, 289.05, 150.15)","(24.81, 21.84)"
1733109930.900982,"(121.24, 319.38, 289.05, 150.23)","(24.81, 21.84)"
1733109930.9381237,"(121.24, 319.38, 289.05, 150.27)","(24.64, 22.17)"
1733109930.974243,"(121.24, 319.38, 289.05, 150.23)","(24.64, 22.17)"
1733109931.0117676,"(121.24, 319.38, 289.05, 150.23)","(24.64, 22.17)"
1733109931.0485718,"(121.24, 319.38, 288.95, 150.27)","(24.900000000000002, 22.05)"
1733109931.084937,"(121.24, 319.38, 288.95, 150.32)","(24.939999999999998, 22.17)"
1733109931.1223078,"(121.24, 319.38, 288.95, 150.32)","(24.939999999999998, 22.17)"
1733109931.158937,"(121.24, 319.38, 288.95, 150.32)","(25.1, 22.17)"
1733109931.1922042,"(121.24, 319.38, 288.95, 150.32)","(24.86, 22.25)"
1733109931.228601,"(121.24, 319.38, 288.95, 150.4)","(24.820000000000004, 22.45)"
1733109931.2656436,"(121.24, 319.38, 288.95, 150.48)","(24.970000000000002, 22.45)"
1733109931.3022864,"(121.24, 319.38, 288.95, 150.53)","(25.12, 22.45)"
1733109931.3395762,"(121.24, 319.38, 288.95, 150.57)","(24.970000000000002, 22.45)"
1733109931.3758657,"(121.24, 319.38, 288.95, 150.65)","(25.12, 22.45)"
1733109931.4130895,"(121.24, 319.38, 288.95, 150.65)","(25.12, 22.45)"
1733109931.4494083,"(121.24, 319.38, 288.95, 150.65)","(25.2, 22.37)"
1733109931.4864266,"(121.24, 319.38, 288.95, 150.69)","(25.2, 22.37)"
1733109931.5194435,"(121.24, 319.38, 288.95, 150.78)","(25.499999999999996, 22.37)"
1733109931.5559814,"(121.24, 319.38, 288.95, 150.82)","(25.17, 22.54)"
1733109931.593022,"(121.24, 319.38, 289.05, 150.82)","(25.159999999999997, 22.57)"
1733109931.6299338,"(121.24, 319.38, 289.05, 150.9)","(25.26, 22.45)"
1733109931.6671011,"(121.24, 319.38, 289.05, 150.82)","(25.34, 22.37)"
1733109931.704135,"(121.24, 319.38, 289.05, 150.86)","(25.419999999999998, 22.45)"
1733109931.740924,"(121.24, 319.38, 289.05, 150.9)","(25.56, 22.45)"
1733109931.7774007,"(121.24, 319.38, 289.05, 150.9)","(25.680000000000003, 22.49)"
1733109931.8139584,"(121.24, 319.38, 289.05, 150.86)","(25.6, 22.57)"
1733109931.8469377,"(121.2, 319.38, 289.05, 150.86)","(25.6, 22.57)"
1733109931.8833735,"(121.17, 319.38, 289.05, 150.86)","(25.759999999999998, 22.57)"
1733109931.9203506,"(121.17, 319.38, 289.05, 150.86)","(25.759999999999998, 22.57)"
1733109931.9572415,"(121.17, 319.38, 289.05, 150.99)","(25.759999999999998, 22.57)"
1733109931.9945223,"(121.17, 319.38, 289.05, 150.99)","(25.759999999999998, 22.57)"
1733109932.0316274,"(121.17, 319.38, 289.05, 151.03)","(25.759999999999998, 22.57)"
1733109932.068623,"(121.14, 319.38, 289.05, 150.99)","(25.660000000000004, 22.65)"
1733109932.1054342,"(121.14, 319.38, 289.05, 150.99)","(25.740000000000002, 22.57)"
1733109932.1415796,"(121.11, 319.38, 289.05, 151.03)","(25.660000000000004, 22.65)"
1733109932.1787577,"(121.11, 319.38, 289.05, 151.03)","(25.660000000000004, 22.65)"
1733109932.2112775,"(121.11, 319.38, 289.05, 151.11)","(25.660000000000004, 22.65)"
1733109932.248606,"(121.07, 319.38, 289.05, 151.11)","(25.740000000000002, 22.57)"
1733109932.285718,"(121.04, 319.38, 289.05, 151.16)","(25.660000000000004, 22.65)"
1733109932.3221724,"(121.01, 319.38, 288.95, 151.2)","(25.660000000000004, 22.65)"
1733109932.359026,"(120.98, 319.38, 288.95, 151.24)","(25.82, 22.65)"
1733109932.3959334,"(120.98, 319.38, 288.95, 151.28)","(25.980000000000004, 22.65)"
1733109932.432562,"(120.98, 319.38, 288.95, 151.32)","(25.980000000000004, 22.65)"
1733109932.4700503,"(120.95, 319.38, 288.84, 151.41)","(67.35, None)"
1733109932.5067668,"(120.91, 319.38, 288.84, 151.37)","(26.230000000000004, 22.54)"
1733109932.5392168,"(120.88, 319.38, 288.84, 151.45)","(25.96, 22.65)"
1733109932.576231,"(120.85, 319.38, 288.84, 151.49)","(25.96, 22.65)"
1733109932.6130402,"(120.85, 319.38, 288.84, 151.62)","(25.619999999999997, 22.85)"
1733109932.6499195,"(120.82, 319.38, 288.74, 151.7)","(25.619999999999997, 22.85)"
1733109932.6867092,"(120.82, 319.38, 288.74, 151.75)","(25.96, 22.65)"
1733109932.7237244,"(120.78, 319.38, 288.74, 151.79)","(25.96, 22.65)"
1733109932.7606685,"(120.75, 319.38, 288.74, 151.87)","(25.96, 22.65)"
1733109932.797445,"(120.75, 319.38, 288.74, 152.0)","(25.619999999999997, 22.85)"
1733109932.8336518,"(120.75, 319.38, 288.74, 152.17)","(25.78, 22.85)"
1733109932.8709571,"(120.75, 319.25, 288.84, 152.21)","(25.78, 22.85)"
1733109932.9033272,"(120.75, 319.25, 288.84, 151.87)","(25.78, 22.85)"
1733109932.9399357,"(120.75, 319.25, 288.74, 151.96)","(25.890000000000004, 22.74)"
1733109932.976967,"(120.75, 319.25, 288.74, 152.04)","(25.890000000000004, 22.74)"
1733109933.0141592,"(120.75, 319.25, 288.84, 152.21)","(25.890000000000004, 22.74)"
1733109933.0511434,"(120.75, 319.25, 288.84, 152.26)","(25.939999999999998, 22.85)"
1733109933.0876534,"(120.75, 319.25, 288.84, 152.09)","(25.939999999999998, 22.85)"
1733109933.125187,"(120.75, 319.25, 288.84, 152.0)","(25.939999999999998, 22.85)"
1733109933.1613584,"(120.75, 319.25, 288.74, 151.92)","(25.939999999999998, 22.85)"
1733109933.19843,"(120.75, 319.25, 288.84, 151.87)","(25.939999999999998, 22.85)"
1733109933.2311127,"(120.75, 319.25, 288.84, 151.87)","(25.939999999999998, 22.85)"
1733109933.2687552,"(120.75, 319.25, 288.74, 151.92)","(26.08, 22.85)"
