Time(s),Res(O),Angles(deg)
1733109904.6184042,"(122.21, 323.05, 292.3, 152.13)","(8.93, 28.65)"
1733109904.655464,"(122.21, 323.05, 292.3, 152.51)","(8.93, 28.65)"
1733109904.6883771,"(122.21, 323.05, 292.19, 152.68)","(9.060000000000002, 28.65)"
1733109904.7250285,"(122.18, 322.93, 292.19, 152.89)","(9.060000000000002, 28.65)"
1733109904.761572,"(122.15, 322.93, 292.19, 153.02)","(9.060000000000002, 28.65)"
1733109904.7945366,"(122.15, 322.93, 292.19, 153.19)","(9.060000000000002, 28.65)"
1733109904.8314776,"(122.11, 322.93, 292.19, 153.28)","(9.060000000000002, 28.65)"
1733109904.868088,"(122.08, 322.93, 292.19, 153.24)","(9.060000000000002, 28.65)"
1733109904.9006665,"(122.05, 322.93, 292.19, 153.28)","(9.190000000000005, 28.65)"
1733109904.938329,"(122.02, 322.93, 292.19, 153.28)","(9.350000000000001, 28.65)"
1733109904.9749813,"(121.98, 322.93, 292.19, 153.36)","(9.119999999999997, 28.75)"
1733109905.007944,"(121.95, 322.93, 292.19, 153.41)","(9.119999999999997, 28.75)"
1733109905.044134,"(121.92, 322.93, 292.19, 153.41)","(9.119999999999997, 28.75)"
1733109905.077343,"(121.89, 322.93, 292.19, 153.45)","(9.119999999999997, 28.75)"
1733109905.1138072,"(121.85, 322.93, 292.19, 153.45)","(9.110000000000003, 28.73)"
1733109905.1512904,"(121.82, 322.93, 292.19, 153.45)","(9.110000000000003, 28.73)"
1733109905.1837895,"(121.79, 322.93, 292.19, 153.49)","(9.46, 28.54)"
1733109905.22008,"(121.76, 322.93, 292.19, 153.58)","(9.46, 28.54)"
1733109905.2574944,"(121.76, 323.05, 292.19, 153.58)","(9.46, 28.54)"
1733109905.2905452,"(121.76, 323.05, 292.19, 153.66)","(9.46, 28.54)"
1733109905.3269477,"(121.72, 323.05, 292.19, 153.71)","(9.46, 28.54)"
1733109905.3634553,"(121.72, 323.05, 292.19, 153.75)","(9.46, 28.54)"
1733109905.3970065,"(121.72, 323.05, 292.19, 153.79)","(9.46, 28.54)"
1733109905.433428,"(121.72, 323.05, 292.19, 153.88)","(9.46, 28.54)"
1733109905.4664526,"(121.72, 323.05, 292.19, 153.92)","(9.46, 28.54)"
1733109905.5034714,"(121.72, 323.05, 292.19, 153.97)","(9.46, 28.54)"
1733109905.5406132,"(121.72, 323.05, 292.19, 154.01)","(9.110000000000003, 28.73)"
1733109905.57256,"(121.72, 323.05, 292.19, 154.05)","(9.110000000000003, 28.73)"
1733109905.6102996,"(121.72, 323.05, 292.19, 154.05)","(9.110000000000003, 28.73)"
