Angle1(deg),Angle2(deg)
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-1.58,10.84
-2.01,11.06
-2.4000000000000004,11.27
-1.6300000000000008,10.89
-1.6300000000000008,10.89
-1.5500000000000007,10.84
-1.6300000000000008,10.89
-1.5500000000000007,10.84
-1.6300000000000008,10.89
-1.5500000000000007,10.84
-1.9800000000000004,11.06
-1.7599999999999998,10.84
-1.7899999999999991,10.84
-1.7899999999999991,10.84
-1.7899999999999991,10.84
-1.7899999999999991,10.84
-1.8399999999999999,10.89
-1.870000000000001,10.89
-2.289999999999999,11.1
-2.049999999999999,11.1
-1.5500000000000007,10.84
-2.049999999999999,11.1
-2.049999999999999,11.1
-1.8399999999999999,11.1
-2.049999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-1.8399999999999999,11.1
-2.0500000000000007,11.31
-1.8499999999999996,11.31
-1.4000000000000004,11.31
-1.8200000000000003,11.52
-1.6099999999999994,11.52
-1.6099999999999994,11.52
-1.6099999999999994,11.52
-1.6099999999999994,11.52
-1.6100000000000012,11.73
-2.0299999999999994,11.94
-1.6100000000000012,11.73
-1.6100000000000012,11.73
-1.6100000000000012,11.73
-1.6100000000000012,11.73
-1.370000000000001,11.73
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.58,11.94
-1.3699999999999992,11.94
-1.3399999999999999,12.15
-1.6400000000000006,12.41
-1.0099999999999998,12.2
-1.6899999999999995,12.67
-1.3200000000000003,12.67
