Time(s),Angle1(deg),Angle2(deg)
19.98,41.05,
20.0,40.98,
20.03,41.05,
20.04,40.97,
20.06,40.89,
20.08,40.89,
20.09,40.89,
20.12,40.89,
20.14,40.73,
20.15,40.8,
20.18,40.8,
20.2,40.8,
20.23,40.73,
20.25,40.8,
20.26,40.8,
20.28,40.8,
20.31,40.8,
20.33,40.8,
20.34,40.8,
20.36,40.73,
20.39,40.73,
20.42,40.73,
20.45,40.73,
20.47,40.64,
20.48,40.64,
20.5,40.64,
20.53,40.64,
20.56,40.64,
20.58,40.64,
20.59,40.55,
20.63,40.48,
20.64,40.48,
20.66,40.48,
20.67,40.48,
20.7,40.39,
20.72,40.39,
20.75,40.39,
20.77,40.48,
20.78,40.39,
20.81,40.48,
20.84,40.39,
20.86,40.31,
20.88,40.31,
20.91,40.22,
20.92,40.22,
20.94,40.22,
20.95,40.22,
20.99,40.22,
21.02,40.22,
21.03,40.31,
21.05,40.22,
21.08,40.3,
21.1,40.22,
21.13,40.22,
21.14,40.22,
21.16,40.22,
21.17,40.22,
21.21,40.22,
21.22,40.22,
21.24,40.22,
21.25,40.22,
21.28,40.22,
21.3,40.22,
21.33,40.22,
21.35,40.22,
21.38,40.13,
21.39,40.13,
21.42,40.13,
21.44,40.13,
21.46,40.13,
21.49,40.13,
21.5,40.13,
21.53,40.04,
21.55,40.04,
21.57,40.04,
21.6,40.04,
21.61,40.04,
21.64,40.04,
21.66,40.04,
21.68,40.04,
21.69,40.04,
21.72,40.04,
21.74,40.04,
21.77,40.04,
21.79,40.04,
21.8,40.04,
21.83,40.04,
21.85,40.04,
21.86,40.04,
21.9,40.04,
21.91,40.04,
21.93,40.04,
21.94,40.12,
21.97,40.12,
22.01,40.04,
22.03,40.04,
22.04,40.04,
22.07,40.04,
22.08,40.04,
22.12,40.06,
22.14,40.49,
22.15,41.41,
22.18,43.06,
22.2,45.32,
22.21,47.78,
22.23,49.81,
22.26,50.89,
22.27,51.2,
22.29,50.98,
22.31,50.66,
22.34,50.51,
22.35,50.51,
22.38,50.51,
22.4,50.51,
22.42,50.51,
22.45,50.51,
22.46,50.51,
22.49,50.51,
22.51,50.51,
22.53,50.51,
22.54,50.51,
22.57,50.51,
22.6,50.51,
22.62,50.51,
22.63,50.51,
22.67,50.51,
22.68,50.51,
22.71,50.51,
22.73,50.51,
22.76,50.51,
22.78,50.51,
22.79,50.51,
22.81,50.51,
22.84,50.51,
22.85,50.51,
22.87,50.51,
