R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
125.69,322.8,292.09,167.66,67.84,83.11
125.69,322.8,292.09,167.38,67.72,83.09
125.69,322.8,292.09,167.09,67.72,83.09
125.69,322.8,292.09,166.99,67.84,83.11
125.69,322.8,292.09,166.85,67.84,83.11
125.69,322.8,292.09,166.71,67.84,83.09
125.69,322.8,292.09,166.61,68.08,83.11
125.69,322.8,292.09,166.33,67.84,83.3
125.69,322.8,292.09,166.13,67.64,83.11
125.69,322.8,292.09,165.95,67.84,83.09
125.69,322.8,292.09,165.99,67.64,83.06
125.69,322.68,292.09,165.9,67.84,83.06
125.69,322.68,292.09,165.71,67.84,83.06
125.69,322.68,292.19,165.61,67.56,83.06
125.69,322.68,292.19,165.57,67.56,83.06
125.69,322.8,292.19,165.52,67.56,83.06
125.66,322.8,292.19,165.47,67.84,83.06
125.62,322.68,292.19,165.47,67.84,83.06
125.59,322.68,292.19,165.52,67.56,83.06
125.55,322.68,292.19,165.57,67.64,83.06
125.52,322.68,292.09,165.66,67.64,83.06
125.49,322.68,292.09,165.71,67.56,83.3
125.45,322.68,292.09,165.9,67.64,83.06
125.42,322.68,292.09,166.04,67.64,83.28
125.39,322.68,291.98,166.23,67.64,83.06
125.35,322.55,291.98,166.28,67.64,83.06
125.32,322.55,291.98,166.52,67.56,83.06
125.32,322.43,291.98,166.8,67.45,83.06
125.29,322.31,291.98,166.99,67.56,83.28
125.25,322.31,291.98,167.18,67.56,83.28
125.22,322.31,291.88,167.33,68.52,82.87
125.22,322.31,291.88,167.47,69.82,83.06
