R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
121.24,322.8,292.19,153.19,51.24,60.75
121.24,322.8,292.19,153.19,51.24,60.75
121.24,322.8,292.19,153.19,51.24,60.75
121.24,322.8,292.19,153.11,51.24,60.75
121.24,322.8,292.19,153.02,51.24,60.75
121.24,322.8,292.19,152.81,51.24,60.75
121.24,322.8,292.19,152.64,51.24,60.75
121.24,322.8,292.19,152.47,51.24,60.75
121.2,322.8,292.19,152.3,51.24,60.75
121.2,322.8,292.19,152.17,51.24,60.75
121.2,322.8,292.19,152.04,51.24,60.75
121.27,322.93,292.3,151.96,51.24,60.75
121.43,322.93,292.41,152.04,51.24,60.75
121.66,322.93,292.51,152.25,51.24,60.86
121.95,322.93,292.51,152.55,52.29,61.35
122.28,322.93,292.62,152.72,54.39,62.16
122.57,322.93,292.72,153.02,56.95,63.93
122.86,322.93,292.72,153.32,61.09,65.99
123.13,322.93,292.72,153.67,65.02,68.16
123.39,322.8,292.72,154.01,67.54,70.32
123.62,322.8,292.72,154.48,68.78,71.36
123.85,322.8,292.72,154.96,69.05,71.57
124.09,322.93,292.72,155.4,69.25,71.36
124.35,322.93,292.72,155.88,69.05,71.36
124.58,322.93,292.72,156.32,69.05,71.57
124.82,322.93,292.72,156.76,69.05,71.57
124.95,322.93,292.62,157.15,69.05,71.36
124.99,322.8,292.51,157.37,69.05,71.57
124.95,322.68,292.41,157.46,69.05,71.57
124.85,322.68,292.41,157.51,69.05,71.57
124.72,322.68,292.3,157.73,69.05,71.36
124.62,322.56,292.19,157.82,69.05,71.36
124.52,322.43,292.19,157.91,69.05,71.36
124.45,322.31,292.19,158.0,69.05,71.36
124.38,322.31,292.19,158.04,69.05,71.36
124.35,322.31,292.19,158.08,69.05,71.36
124.28,322.19,292.19,158.13,69.05,71.36
124.22,322.06,292.19,158.13,69.05,71.36
124.15,321.94,292.19,158.17,69.05,71.36
124.09,321.82,292.19,158.17,69.13,71.29
124.02,321.7,292.19,158.08,69.13,71.29
123.99,321.57,292.19,158.0,69.13,71.29
123.95,321.57,292.19,158.0,69.13,71.29
123.92,321.7,292.19,157.95,69.13,71.29
123.89,321.57,292.19,157.86,69.13,71.29
123.85,321.45,292.19,157.73,69.13,71.29
123.82,321.45,292.19,157.6,69.13,71.29
123.79,321.45,292.19,157.46,69.13,71.29
123.75,321.45,292.19,157.2,69.05,71.36
123.72,321.45,292.19,157.02,69.05,71.22
123.69,321.33,292.19,156.89,69.13,71.15
123.69,321.33,292.19,156.76,69.13,71.29
123.66,321.33,292.19,156.71,69.13,71.29
123.66,321.33,292.19,156.54,69.13,71.15
123.62,321.33,292.19,156.32,69.13,71.15
123.59,321.33,292.19,156.18,69.13,71.15
123.56,321.33,292.19,156.1,69.13,71.15
123.52,321.33,292.19,155.96,69.13,71.15
