imgnum,Angle1(deg),Angle2(deg)
494,27.46,23.66
495,27.46,23.66
496,27.28,23.91
497,27.46,23.66
498,27.46,23.66
499,27.46,23.66
500,27.28,23.91
501,27.46,23.66
502,27.46,23.66
503,27.46,23.66
504,27.28,23.91
505,27.75,23.66
506,27.46,23.66
507,27.28,23.91
508,27.75,23.66
509,27.58,23.91
510,27.83,23.66
511,27.38,24.11
512,27.08,24.11
513,27.08,24.11
514,27.96,23.91
515,27.38,24.11
516,27.96,23.91
517,27.38,24.11
518,27.38,24.11
519,27.38,24.11
520,27.38,24.11
521,27.38,24.11
522,27.38,24.11
523,27.38,24.11
524,27.38,24.11
525,27.38,24.11
526,27.38,24.11
527,27.38,24.11
528,27.38,24.11
529,27.38,24.11
530,27.38,24.11
531,27.38,24.11
532,27.38,24.11
533,27.38,24.11
534,27.38,24.11
535,27.96,23.91
536,27.38,24.11
537,27.38,24.11
538,27.38,24.11
539,27.38,24.11
540,27.38,24.11
541,27.38,24.11
542,27.38,24.11
543,27.38,24.11
544,27.38,24.11
545,27.38,24.11
546,27.68,24.11
547,27.76,24.11
548,27.68,24.11
549,27.68,24.11
550,28.06,24.11
551,28.06,24.11
552,28.06,24.11
553,28.06,24.11
554,28.06,24.11
555,28.06,24.11
556,28.06,24.11
557,28.06,24.11
558,28.06,24.11
559,28.06,24.11
560,28.06,24.11
561,28.06,24.11
562,27.01,24.11
563,25.99,23.46
564,24.01,22.35
565,19.46,17.03
566,19.29,15.47
567,19.69,15.34
568,19.96,15.47
569,19.48,15.95
570,19.48,15.95
571,19.48,15.95
572,19.48,15.95
573,19.48,15.95
574,19.48,15.95
575,19.2,15.95
576,17.89,14.87
577,17.49,14.87
578,16.8,14.74
579,16.66,14.39
580,17.13,13.92
581,15.95,14.27
582,16.06,13.92
583,15.53,13.8
584,15.6,13.32
585,15.6,13.32
586,15.18,13.32
587,14.1,13.32
588,14.1,13.32
589,15.0,12.85
590,15.0,12.85
591,14.35,12.85
592,14.62,12.37
593,14.2,12.37
594,14.41,12.37
595,13.77,12.37
596,13.77,12.37
597,13.34,12.37
598,13.55,12.37
599,13.34,12.37
600,13.66,12.26
601,13.66,12.26
602,13.66,12.26
603,13.66,12.26
604,13.66,12.26
605,13.66,12.26
606,13.66,12.26
607,14.35,11.79
608,13.45,12.26
609,13.66,12.26
610,13.66,12.26
611,14.25,11.89
612,14.25,11.89
613,13.66,12.26
614,13.34,12.37
615,13.76,12.16
616,13.34,12.37
617,13.66,12.26
618,13.66,12.26
619,14.25,11.89
620,14.25,11.89
621,13.66,12.26
622,13.22,12.26
623,13.22,12.26
624,13.22,12.26
625,13.32,12.16
626,13.82,11.89
627,13.92,11.79
628,13.22,12.26
629,13.22,12.26
630,13.22,12.26
631,13.22,12.26
632,13.22,12.26
633,12.79,12.26
634,13.49,11.79
635,13.18,11.89
636,13.18,11.89
637,12.65,11.79
638,12.31,10.83
639,11.68,10.83
640,12.16,10.35
641,12.16,10.35
642,10.43,9.22
643,10.16,7.37
644,10.85,6.82
645,10.85,6.82
646,11.55,6.88
647,11.71,6.88
648,11.92,6.82
649,12.38,6.82
650,12.38,6.82
651,12.54,6.82
652,12.54,6.82
653,13.0,6.82
654,13.0,6.82
655,13.45,6.82
656,13.23,6.88
657,13.23,6.88
658,13.45,6.82
659,13.45,6.82
660,13.23,6.88
661,13.45,6.82
662,13.23,6.88
663,13.91,6.82
664,13.91,6.82
665,13.91,6.82
666,13.68,6.88
667,13.85,6.88
668,13.68,6.88
669,13.68,6.88
670,14.08,6.82
671,13.85,6.88
672,13.85,6.88
673,13.68,6.88
674,13.85,6.88
675,13.68,6.88
676,13.85,6.88
677,13.85,6.88
678,14.12,6.88
679,13.85,6.88
680,14.79,6.39
681,14.12,6.88
682,13.85,6.88
683,14.3,6.88
684,14.3,6.88
685,14.3,6.88
686,14.08,6.82
687,14.08,6.82
688,13.85,6.88
689,14.08,6.82
690,13.85,6.88
691,13.85,6.88
692,14.12,6.88
693,13.85,6.88
694,13.85,6.88
695,13.85,6.88
696,13.85,6.88
697,13.85,6.88
698,13.85,6.88
699,13.85,6.88
700,14.08,6.82
701,13.85,6.88
702,14.08,6.82
703,13.85,6.88
704,14.3,6.88
705,13.85,6.88
706,13.85,6.88
707,8.64,7.37
708,6.67,7.37
709,6.28,6.82
710,5.34,6.82
711,4.3,6.82
712,2.23,7.31
713,3.36,6.82
714,0.76,7.37
715,-2.58,8.34
716,-3.56,7.85
717,-4.98,7.37
718,-4.98,7.37
719,-4.98,7.37
720,-4.98,7.37
721,-4.98,7.37
722,-4.98,7.37
723,-4.92,7.31
724,-4.98,7.37
725,-4.92,7.31
726,-4.98,7.37
727,-4.98,7.37
728,-4.98,7.37
729,-4.98,7.37
730,-4.98,7.37
731,-4.92,7.31
732,-4.92,7.31
733,-4.98,7.37
734,-4.98,7.37
735,-4.98,7.37
736,-4.98,7.37
737,-4.98,7.37
738,-4.98,7.37
739,-4.92,7.31
740,-4.92,7.31
741,-4.98,7.37
742,-4.98,7.37
743,-4.98,7.37
744,-4.98,7.37
745,-4.98,7.37
