Time(s),R1(O),R2(O),R3(O),R4(O)
1734219225.8612018,75.08,148.48,140.41,87.57
1734219225.9876368,74.81,146.36,140.41,87.59
1734219226.1143696,74.90,145.59,139.26,88.05
1734219226.24136,75.04,145.67,138.80,88.51
1734219226.368838,75.18,146.00,138.01,88.79
1734219226.495298,75.50,146.08,137.33,88.67
1734219226.6228426,75.75,146.24,137.45,88.28
1734219226.749976,75.99,147.21,136.96,87.91
1734219226.8763604,75.91,147.91,137.11,87.73
1734219227.00384,75.56,149.39,137.56,87.87
1734219227.1309028,75.34,149.23,138.50,88.00
1734219227.2579398,75.38,148.94,139.18,88.14
1734219227.384827,75.40,147.99,139.68,88.26
1734219227.5116296,75.46,146.97,139.26,88.69
1734219227.6425123,75.52,146.93,138.39,88.99
1734219227.7693439,75.52,146.85,138.24,89.30
1734219227.8959506,75.73,147.87,138.65,89.27
1734219228.0232823,76.37,148.48,139.03,88.44
1734219228.150559,76.70,148.77,138.27,87.93
1734219228.2770967,76.23,148.94,138.20,87.59
1734219228.4038339,75.85,149.43,139.18,88.16
1734219228.5308943,75.64,150.18,141.18,88.53
1734219228.6585915,75.79,149.60,142.03,88.32
1734219228.784828,75.99,148.07,141.53,88.58
1734219228.911996,75.73,146.12,140.83,88.86
1734219229.0391762,75.71,146.08,139.72,89.62
1734219229.1659203,76.03,147.13,140.02,89.72
1734219229.2929509,76.72,147.74,139.68,89.20
1734219229.4205923,77.06,147.46,138.99,88.58
1734219229.5472522,76.65,147.25,138.80,88.16
1734219229.6743422,76.55,147.99,138.20,88.26
1734219229.8008478,76.33,148.56,138.69,88.51
1734219229.9275346,76.05,148.98,139.56,88.65
1734219230.0505335,75.85,147.99,140.25,88.79
1734219230.178024,75.85,148.15,140.48,89.32
1734219230.3048186,76.31,147.83,139.60,89.23
1734219230.4314723,76.45,147.09,137.67,88.93
1734219230.5591471,76.31,146.64,136.59,88.65
1734219230.6857536,76.43,146.64,136.66,88.65
1734219230.8127918,76.37,148.11,137.86,88.49
1734219230.9396873,76.67,149.39,138.35,87.82
1734219231.0670652,76.49,149.35,137.67,87.84
1734219231.193371,75.85,148.65,138.27,87.91
1734219231.320999,75.58,148.19,139.56,88.58
1734219231.4480827,75.66,148.24,141.10,88.99
1734219231.5743752,76.13,147.95,141.10,89.04
1734219231.7019944,76.37,146.68,139.72,89.20
1734219231.8287697,76.21,145.71,138.58,89.04
1734219231.9550607,76.39,145.63,137.67,89.37
1734219232.082747,76.67,145.84,138.31,89.06
1734219232.2098143,76.63,147.09,138.61,88.81
1734219232.3366666,76.63,148.03,138.96,88.97
1734219232.463485,76.41,147.91,139.37,89.13
1734219232.590692,76.19,147.62,139.41,89.27
1734219232.7170055,76.25,147.01,140.02,89.51
1734219232.8445854,76.29,146.85,139.75,89.95
1734219232.9713807,76.39,146.16,139.56,90.30
1734219233.097918,76.47,146.32,138.69,90.21
1734219233.2249727,76.74,146.40,137.22,89.95
1734219233.3513472,76.96,146.36,136.59,89.76
1734219233.4788115,77.12,147.33,136.81,89.34
1734219233.605809,77.06,148.28,137.04,88.99
1734219233.7331882,76.88,148.94,137.30,89.06
1734219233.8599558,76.63,148.73,138.27,89.20
1734219233.9870265,76.47,148.28,139.07,89.53
1734219234.114285,76.55,147.70,139.68,89.76
1734219234.2413888,76.78,146.97,139.41,90.30
1734219234.3685522,76.90,148.03,140.06,90.89
1734219234.4952543,77.08,148.24,139.26,91.15
1734219234.6222174,77.44,147.42,138.42,91.39
1734219234.7493303,77.73,147.58,138.65,91.04
1734219234.875837,77.75,148.56,138.77,90.70
1734219235.0034776,77.77,149.43,138.99,90.92
1734219235.1301665,77.54,150.14,139.34,91.08
1734219235.2573261,77.36,149.02,140.21,91.68
1734219235.384134,77.16,148.56,141.06,91.97
1734219235.5108826,77.52,147.66,141.53,92.30
1734219235.637767,77.63,147.74,142.23,93.00
1734219235.764821,78.10,149.10,141.53,92.95
1734219235.8916028,78.55,148.73,139.83,92.59
1734219236.0189404,78.42,147.70,138.73,92.28
1734219236.1455464,78.40,147.66,138.69,92.21
1734219236.272809,78.32,148.56,138.92,91.99
1734219236.399673,78.53,150.52,139.49,91.42
1734219236.5259957,78.34,151.40,139.22,91.01
1734219236.653552,77.73,149.97,139.60,90.99
1734219236.7806776,77.59,148.69,140.06,91.56
1734219236.9079454,77.56,148.48,140.71,92.30
1734219237.0347974,77.95,148.85,140.71,92.37
1734219237.160858,78.20,149.39,138.99,92.09
1734219237.2882752,78.16,148.40,137.71,91.75
1734219237.4157338,77.97,148.28,136.92,91.85
1734219237.5423093,77.87,147.70,137.00,91.75
1734219237.668927,77.75,148.52,137.41,91.51
1734219237.7963996,77.52,149.23,137.71,91.56
1734219237.9232252,77.30,149.10,138.61,91.73
1734219238.0499847,77.10,148.81,139.34,91.82
1734219238.1755826,77.16,146.93,139.72,92.28
