Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287219.7741003,63.96,56.28,63.64,64.95,7.51,25.91
1734287219.9018793,64.15,55.99,63.54,64.88,7.51,25.91
1734287220.026068,63.93,55.96,63.42,64.83,7.51,25.91
1734287220.152845,63.9,56.1,63.28,64.8,7.51,25.91
1734287220.2739592,63.9,56.1,63.35,65.06,7.51,25.91
1734287220.3985133,63.88,56.28,63.6,64.78,8.36,25.46
1734287220.5252085,64.1,56.3,63.43,64.8,7.51,25.91
1734287220.648622,63.86,56.48,63.42,64.97,8.36,25.46
1734287220.7652037,63.79,56.41,63.37,64.94,7.51,25.91
1734287220.8967917,63.96,56.27,63.33,64.92,8.36,25.46
1734287221.0250762,63.96,56.28,63.54,64.97,8.1,25.46
1734287221.1421952,63.96,56.64,63.45,64.76,7.7,25.46
1734287221.2737892,64.02,56.33,63.28,64.69,7.3,25.46
1734287221.3977003,63.84,56.28,63.43,64.54,7.05,25.46
1734287221.5143704,63.83,56.48,63.43,64.49,7.05,25.46
1734287221.6430552,64.0,56.38,63.42,64.52,7.05,25.46
1734287221.7694187,63.83,56.3,63.37,64.5,8.35,24.81
1734287221.8928936,63.78,56.14,63.35,64.47,7.95,24.81
1734287222.0140245,63.76,56.19,63.33,64.71,7.7,24.81
1734287222.1477208,63.74,56.55,63.47,64.69,7.7,24.81
1734287222.2738967,63.95,56.58,63.37,64.59,7.7,24.81
1734287222.3973372,63.96,56.41,63.52,64.55,7.7,24.81
1734287222.5112505,63.74,56.52,63.71,64.68,7.7,24.81
1734287222.6450777,63.88,56.73,63.79,64.74,7.7,24.81
1734287222.7588706,64.17,56.75,63.83,64.74,7.3,24.81
1734287222.897328,64.17,56.73,63.55,64.43,7.3,24.81
1734287223.0118237,64.17,56.55,63.25,64.33,7.3,24.81
1734287223.1461475,63.9,56.8,63.38,64.54,7.3,24.81
1734287223.263898,63.78,56.94,63.66,64.61,7.3,24.81
1734287223.3958852,64.03,56.95,63.67,64.61,6.89,24.81
